"","DATE","D_COUNT","PREV_COUNT","DIFF","T7","T7_DELTA","T7_DIR","T7_CHANGE_PER","ICU","NON_ICU","ALL_HOSP","ICU_DELTA","T7_ICU","T7_ICU_DIRECTION","NON_ICU_DELTA","T7_NON_ICU","T7_NON_ICU_DIRECTION","ALL_HOSP_DELTA","T7_ALL","T7_ALL_DIRECTION","NON_ICU_DATA_CHANGE","ICU_DATA_CHANGE","DEATHS"
"1",2020-03-05,1,1,0,0.889014518789961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",2020-03-07,1,1,0,1.32269964954204,48.7826825755746,"+",0.487826825755746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",2020-03-08,1,1,0,1.92948109361836,45.8744692558441,"+",0.458744692558441,0,0,0,0,0,"-",0,0,"-",0,0,"-",0,0,0
"4",2020-03-09,4,4,0,2.74697348803494,42.3685102238309,"+",0.423685102238309,0,1,1,0,0,"-",1,0.5,"+",1,0.5,"+",0,0,0
"5",2020-03-10,9,9,0,3.92552527184667,42.9036461016159,"+",0.429036461016159,0,1,1,0,0,"-",0,0.666666666666667,"+",0,0.666666666666667,"+",0,0,0
"6",2020-03-11,7,7,0,5.2090298201983,32.6963771589181,"+",0.326963771589181,0,1,1,0,0,"-",0,0.75,"+",0,0.75,"+",0,0,0
"7",2020-03-12,3,3,0,6.93486508298756,33.1316065056345,"+",0.331316065056345,1,1,2,1,0.2,"+",0,0.8,"+",1,1,"+",0,0,0
"8",2020-03-13,8,8,0,9.01899345038777,30.0529043097456,"+",0.300529043097456,2,3,5,1,0.5,"+",2,1.16666666666667,"+",3,1.66666666666667,"+",0,0,0
"9",2020-03-14,22,22,0,11.7910496837543,30.7357605770006,"+",0.307357605770006,2,3,5,0,0.714285714285714,"+",0,1.42857142857143,"+",0,2.14285714285714,"+",0,0,0
"10",2020-03-15,11,11,0,14.7411073718281,25.0194661815252,"+",0.250194661815252,2,3,5,0,1,"+",0,1.85714285714286,"+",0,2.85714285714286,"+",0,0,0
"11",2020-03-16,24,24,0,17.2224602724358,16.8328799052766,"+",0.168328799052766,2,4,6,0,1.28571428571429,"+",1,2.28571428571429,"+",1,3.57142857142857,"+",0,0,0
"12",2020-03-17,11,11,0,19.4825606975567,13.1229823693551,"+",0.131229823693551,3,4,7,1,1.71428571428571,"+",0,2.71428571428571,"+",1,4.42857142857143,"+",0,0,0
"13",2020-03-18,29,29,0,22.5953596793229,15.9773606256831,"+",0.159773606256831,3,9,12,0,2.14285714285714,"+",5,3.85714285714286,"+",5,6,"+",0,0,1
